Rank,City,State,Popullation,
699,Bradenton, Florida,"55,713",
700,Albany, Oregon,"56,464",
701,Bartlett, Tennessee,"57,789",
702,Coeur d'Alene, Idaho,"54,640",
703,Highland, California,"56,996",
704,Smyrna town, Tennessee,"53,089",
705,Bonita Springs, Florida,"53,638",
706,Southaven, Mississippi,"54,647",
707,Beaumont, California,"53,045",
708,Oak Lawn village, Illinois,"58,370",
709,Smyrna, Georgia,"55,905",
710,Kingsport, Tennessee,"55,441",
711,Bozeman, Montana,"53,317",
712,New Brunswick, New Jersey,"55,252",
713,DeSoto, Texas,"56,135",
714,Marana town, Arizona,"51,897",
715,Fountain Valley, California,"57,054",
716,Spring Hill, Tennessee,"50,689",
717,Tigard, Oregon,"54,816",
718,Olympia, Washington,"55,371",
719,Texas, Texas,"51,895",
720,Port Arthur, Texas,"56,030",
721,National, California,"56,172",
722,San Jacinto, California,"53,894",
723,Kannapolis, North Carolina,"53,119",
724,Apple Valley, Minnesota,"56,367",
725,Perth Amboy, New Jersey,"55,444",
725,Little Elm, Texas,"46,459",
727,Anderson, Indiana,"54,773",
728,Valdosta, Georgia,"55,387",
729,West Sacramento, California,"53,919",
730,Winter Haven, Florida,"50,203",
731,Berwyn, Illinois,"57,234",
732,West Haven, Connecticut,"55,581",
733,Chicopee, Massachusetts,"55,562",
734,Arcadia, California,"56,664",
735,Mount Prospect village, Illinois,"56,852",
736,Logan, Utah,"52,783",
737,Westfield, Indiana,"46,425",
738,Plainfield, New Jersey,"54,598",
739,Yucaipa, California,"54,552",
740,Twin Falls, Idaho,"51,811",
741,Tinley Park village, Illinois,"56,001",
742,Eagle Mountain, Utah,"43,614",
743,Kentwood, Michigan,"54,309",
744,Rocky Mount, North Carolina,"54,334",
745,Colton, California,"53,892",
746,Peabody, Massachusetts,"54,492",
747,Pensacola, Florida,"54,310",
748,Manhattan, Kansas,"54,103",
749,Elkhart, Indiana,"53,913",
750,Pinellas Park, Florida,"53,094",
751,Burleson, Texas,"47,633",
752,Methuen Town, Massachusetts,"53,037",
753,Galveston, Texas,"53,699",
754,Wheaton, Illinois,"53,920",
755,Elyria, Ohio,"52,664",
756,Diamond Bar, California,"55,070",
757,Normal town, Illinois,"52,746",
758,Mooresville town, North Carolina,"50,240",
759,Huntington Park, California,"54,883",
